fii, 1, 0.060667
fii, 2, 0.094000
fii, 3, 0.062333
fii, 4, 0.063333
fii, 5, 0.057667
fii, 6, 0.046667
fii, 7, 0.055667
fii, 8, 0.097333
fii, 9, 0.107333
fii, 10, 0.092000
fii, 11, 0.083000
fii, 12, 0.091667
fii, 13, 0.127000
fii, 14, 0.087333
fii, 15, 0.125667
fii, 16, 0.095667
fii, 17, 0.110000
fii, 18, 0.108333
fii, 19, 0.087333
fii, 20, 0.122000
fii, 21, 0.138333
fii, 22, 0.155333
fii, 23, 0.135000
fii, 24, 0.195333
fii, 25, 0.101667
fii, 26, 0.138667
fii, 27, 0.144000
fii, 28, 0.166000
fii, 29, 0.166333
fii, 30, 0.212667
fii, 31, 0.204000
fii, 32, 0.261333
fii, 33, 0.268667
fii, 34, 0.341667
fii, 35, 0.259000
fii, 36, 0.186333
fii, 37, 0.260000
fii, 38, 0.256667
fii, 39, 0.264667
fii, 40, 0.257333
fir, 1, 0.072667
fir, 2, 0.130000
fir, 3, 0.076000
fir, 4, 0.128000
fir, 5, 0.139000
fir, 6, 0.166333
fir, 7, 0.184333
fir, 8, 0.254667
fir, 9, 0.481333
fir, 10, 0.561333
fir, 11, 0.809000
fir, 12, 1.476000
fir, 13, 2.593333
fir, 14, 3.272667
fir, 15, 4.658000
fir, 16, 7.559333
fir, 17, 11.947000
fir, 18, 30.577333
fir, 19, 57.433667
fir, 20, 82.536667
fir, 21, 213.742000
fir, 22, 310.492667
fir, 23, 678.467000
fir, 24, 764.665000
fir, 25, 1238.077000
fir, 26, 2335.659667
fir, 27, 3047.634000
fir, 28, 2463.847667
fir, 29, 6145.742333
fir, 30, 11333.876333
fir, 31, 15969.282000
fir, 32, 18529.056333
fir, 33, 28242.128333
fir, 34, 44711.877667
fir, 35, 71386.317000
fir, 36, 116537.275000
fir, 37, 194395.832667
fir, 38, 301711.589667
fir, 39, 481024.028333
fir, 40, 751639.629333
fai, 1, 0.076000
fai, 2, 0.057000
fai, 3, 0.089000
fai, 4, 0.042667
fai, 5, 0.059667
fai, 6, 0.049000
fai, 7, 0.062333
fai, 8, 0.069667
fai, 9, 0.114333
fai, 10, 0.065667
fai, 11, 0.073667
fai, 12, 0.079000
fai, 13, 0.075000
fai, 14, 0.099000
fai, 15, 0.092667
fai, 16, 0.118333
fai, 17, 0.106000
fai, 18, 0.084667
fai, 19, 0.089000
fai, 20, 0.095333
far, 1, 0.034333
far, 2, 0.044333
far, 3, 0.051000
far, 4, 0.809000
far, 5, 0.067000
far, 6, 0.060333
far, 7, 0.078333
far, 8, 0.085667
far, 9, 0.065333
far, 10, 0.072333
far, 11, 0.137000
far, 12, 0.085000
far, 13, 0.104000
far, 14, 0.159000
far, 15, 0.094667
far, 16, 0.092333
far, 17, 0.131667
far, 18, 0.158333
far, 19, 0.132000
far, 20, 0.186667
